QKRE|-178.306946|28.403343
PM64|-178.297364|28.389184
PMDY|-177.381468|28.201436
QMDY|-177.355026|28.211166
PADK|-176.645923169933|51.878018893678
NZCI|-176.465265|-43.811881
NLWW|-176.199226|-13.238277
NFTF|-175.14576277204|-21.2423991261274
NFZZ|-174.341321|-19.777007
PAAK|-174.20637172935|52.2202704340949
NFTV|-173.961717|-18.585178
UHMD|-173.240295946557|64.3700406889897
NSFA|-172.008337|-13.82997
PAGM|-171.732792|63.766614
PCIS|-171.710395|-2.768124
NSTU|-170.711620587111|-14.3318177811006
PASA|-170.496692|63.685846
PASN|-170.220444|57.16732
NIUE|-169.925639|-19.080028
Z08|-169.670024|-14.184351
PAPB|-169.663737|56.577351
PJON|-169.531815|16.730194
QJON|-169.516373|16.720619
HI36|-169.511111|-14.229167
NSFQ|-169.425446|-14.217234
IKO|-168.849039|52.941561
PIWK|-168.094939|65.622585
PTNC|-167.922454|65.564035
KCN|-167.5519|53.399114
AK98|-167.485807|65.638672
Z04|-167.175493|65.456167
LSR|-167.162982|65.396163
PAPC|-166.858331|65.253696
PPHO|-166.799347|68.348835
PADU|-166.545064|53.89907
KTS|-166.478798|65.332564
AK54|-166.33934|65.240379
PHFS|-166.284633|23.86405
QFFS|-166.271591|23.871542
PAMY|-166.270609|60.37142
PAHP|-166.146625|61.523872
3Z1|-166.131522|64.831727
PALU|-166.110024|68.875134
PASH|-166.089346|66.249567
PACZ|-166.038756|61.780138
KQA|-165.785311|54.132467
PVAK|-165.583873|61.533845
PACM|-165.57375|61.84454
PAOM|-165.445245237529|64.5122021826147
94Z|-165.395927|64.513122
Z47|-165.299837|64.679795
AK45|-165.273127|60.575597
OOK|-165.113964|60.533376
POOK|-165.087185|60.541337
Z81|-165.012628|64.909248
PACS|-164.914555721258|54.5825000661605
SXP|-164.847778|62.520556
AK49|-164.798807|65.679275
IGT|-164.685641|60.470327
AUK|-164.659925|62.680044
WWT|-164.656214|60.923654
5QC|-164.655725|65.405933
EWU|-164.641215|60.938654
PAVL|-164.563496|67.736152
PAEM|-164.490752|62.786148
AK26|-164.442328|64.560641
CFK|-164.285633|60.149226
PIIK|-164.030514|59.932951
Z53|-163.857265|69.024347
K29|-163.703447|64.897883
MOU|-163.682845|62.094793
KOT|-163.559112|63.028121
2A9|-163.532627|63.030574
WMO|-163.412556|64.689194
KFP|-163.410322|54.847446
4Z2|-163.329093|65.904858
PASM|-163.302108021079|62.0604879724444
AK85|-163.168538|59.87647
KWK|-163.140335|59.836725
GLV|-163.039526|64.543435
PPIZ|-163.011128|69.732092
N93|-163.007171|64.550456
PAWN|-162.975035|67.562083
PADG|-162.899184|68.032102
AK10|-162.892936|61.933964
DUY|-162.881723|59.959506
PADE|-162.767047804532|66.069107943862
Z87|-162.753404|55.251627
PACD|-162.725385406036|55.2060378933198
KPH|-162.693641|54.45912
AK61|-162.667009|60.335346
Z20|-162.665621|60.341457
PAOT|-162.598556129601|66.8846750026659
Z09|-162.524809|60.872022
2AK9|-162.464063|65.673477
16A|-162.439116|60.905828
WBB|-162.282739|63.51592
08AK|-162.273139|60.866746
ELI|-162.270068|64.61401
PKVC|-162.266228|55.116347
PSMK|-162.110378|63.490049
QPLM|-162.072769|5.89699
MLL|-162.069046|61.865923
PLPA|-162.066359|5.882507
PAEH|-162.062778|58.646428
MOS|-162.0573|64.698183
SMK|-162.029961|63.48287
PADM|-162.02611|61.864178
EEK|-162.005609|60.215904
WNA|-161.969516|60.691189
CDL|-161.926306|65.907658
2AK8|-161.903334|70.292489
AQH|-161.879479|59.757007
PABE|-161.838006499028|60.7797846015549
PAPM|-161.819666608144|59.0113563173262
PPKA|-161.778309|60.702913
Z59|-161.743129|60.782025
Z58|-161.727296|60.796748
6AK1|-161.713892|58.911716
GNU|-161.581397|59.117276
KWT|-161.44535|60.804252
KKI|-161.435077|60.907865
PRSH|-161.319399|61.77489
PGSZ|-161.281474|65.402132
PAKI|-161.230595|60.902892
38A|-161.202537|64.362632
POUL|-161.160367|56.007536
HAY|-161.156779|65.200989
PKKA|-161.154267|64.939517
PABL|-161.149127|65.981565
AK02|-161.062378|65.539887
ORV|-161.027791|66.828527
TLT|-160.968417|61.096762
AK33|-160.899254|55.801395
PANK|-160.798955288276|63.8883609393103
AK36|-160.552026|55.233339
QULA|-160.535507|21.656652
PASD|-160.52267|55.315042
PAIK|-160.436535|66.975955
